object,warning,scene,interacted,participant,order
PlantSelector,no_warning,normal,TRUE,11,15
LightSwitch,red,party,FALSE,11,16
Frame,popup,normal,TRUE,11,17
InteractablePen,scaleDown,open,TRUE,11,18
LightSwitch,Blur,garage,TRUE,11,19
PlantSelector,no_warning,open,TRUE,11,20
Frame,no_warning,garage,TRUE,11,21
PlantSelector,popup,party,TRUE,11,22
LightSwitch,scaleDown,normal,FALSE,11,23
Frame,no_warning,party,TRUE,11,24
InteractablePen,popup,normal,TRUE,11,25
PlantSelector,red,garage,FALSE,11,26
Frame,Blur,open,TRUE,11,27
InteractablePen,popup,garage,TRUE,11,28
LightSwitch,no_warning,open,TRUE,11,29
InteractablePen,Blur,party,TRUE,11,30
PlantSelector,Blur,normal,TRUE,11,31
LightSwitch,scaleDown,party,FALSE,11,32
Frame,no_warning,normal,TRUE,11,33
InteractablePen,no_warning,open,TRUE,11,34
LightSwitch,scaleDown,garage,FALSE,11,35
PlantSelector,red,open,FALSE,11,36
Frame,popup,garage,TRUE,11,37
PlantSelector,scaleDown,party,FALSE,11,38
LightSwitch,no_warning,normal,TRUE,11,39
Frame,popup,party,TRUE,11,40
InteractablePen,no_warning,normal,TRUE,11,41
PlantSelector,scaleDown,garage,FALSE,11,42
Frame,scaleDown,open,TRUE,11,43
InteractablePen,scaleDown,garage,TRUE,11,44
LightSwitch,red,open,FALSE,11,45
InteractablePen,red,party,FALSE,11,46
PlantSelector,scaleDown,normal,FALSE,11,47
LightSwitch,popup,party,TRUE,11,48
Frame,red,normal,FALSE,11,49
InteractablePen,Blur,open,TRUE,11,50
LightSwitch,red,garage,FALSE,11,51
PlantSelector,popup,open,TRUE,11,52
Frame,scaleDown,garage,FALSE,11,53
PlantSelector,no_warning,party,TRUE,11,54
LightSwitch,popup,normal,TRUE,11,55
Frame,Blur,party,TRUE,11,56
InteractablePen,red,normal,FALSE,11,57
PlantSelector,Blur,garage,TRUE,11,58
Frame,popup,open,TRUE,11,59
InteractablePen,no_warning,garage,TRUE,11,60
LightSwitch,Blur,open,TRUE,11,61
InteractablePen,no_warning,party,TRUE,11,62
PlantSelector,popup,normal,TRUE,11,63
LightSwitch,no_warning,party,TRUE,11,64
Frame,Blur,normal,TRUE,11,65
InteractablePen,popup,open,TRUE,11,66
LightSwitch,popup,garage,TRUE,11,67
PlantSelector,Blur,open,TRUE,11,68
Frame,red,garage,FALSE,11,69
PlantSelector,red,party,FALSE,11,70
LightSwitch,red,normal,FALSE,11,71
Frame,scaleDown,party,FALSE,11,72
InteractablePen,Blur,normal,TRUE,11,73
PlantSelector,no_warning,garage,TRUE,11,74
Frame,red,open,FALSE,11,75
InteractablePen,Blur,garage,TRUE,11,76
LightSwitch,popup,open,TRUE,11,77
InteractablePen,popup,party,TRUE,11,78
PlantSelector,red,normal,FALSE,11,79
LightSwitch,Blur,party,TRUE,11,80
PlantSelector,scaleDown,party,TRUE,12,1
LightSwitch,no_warning,normal,TRUE,12,2
Frame,popup,party,TRUE,12,3
InteractablePen,no_warning,normal,TRUE,12,4
PlantSelector,scaleDown,garage,TRUE,12,5
Frame,scaleDown,open,TRUE,12,6
InteractablePen,scaleDown,garage,TRUE,12,7
LightSwitch,red,open,TRUE,12,8
InteractablePen,red,party,TRUE,12,9
PlantSelector,scaleDown,normal,TRUE,12,10
LightSwitch,popup,party,TRUE,12,11
Frame,red,normal,TRUE,12,12
InteractablePen,Blur,open,TRUE,12,13
LightSwitch,red,garage,TRUE,12,14
PlantSelector,popup,open,TRUE,12,15
Frame,scaleDown,garage,TRUE,12,16
PlantSelector,no_warning,party,TRUE,12,17
LightSwitch,popup,normal,TRUE,12,18
Frame,Blur,party,TRUE,12,19
InteractablePen,red,normal,TRUE,12,20
PlantSelector,Blur,garage,TRUE,12,21
Frame,popup,open,TRUE,12,22
InteractablePen,no_warning,garage,TRUE,12,23
LightSwitch,Blur,open,TRUE,12,24
InteractablePen,no_warning,party,TRUE,12,25
PlantSelector,popup,normal,TRUE,12,26
LightSwitch,no_warning,party,TRUE,12,27
Frame,Blur,normal,TRUE,12,28
InteractablePen,popup,open,TRUE,12,29
LightSwitch,popup,garage,TRUE,12,30
PlantSelector,Blur,open,TRUE,12,31
Frame,red,garage,TRUE,12,32
PlantSelector,red,party,TRUE,12,33
LightSwitch,red,normal,TRUE,12,34
Frame,scaleDown,party,TRUE,12,35
InteractablePen,Blur,normal,TRUE,12,36
PlantSelector,no_warning,garage,TRUE,12,37
Frame,red,open,TRUE,12,38
InteractablePen,Blur,garage,TRUE,12,39
LightSwitch,popup,open,TRUE,12,40
InteractablePen,popup,party,TRUE,12,41
PlantSelector,red,normal,TRUE,12,42
LightSwitch,Blur,party,TRUE,12,43
Frame,scaleDown,normal,TRUE,12,44
InteractablePen,red,open,TRUE,12,45
LightSwitch,no_warning,garage,TRUE,12,46
PlantSelector,scaleDown,open,TRUE,12,47
Frame,Blur,garage,TRUE,12,48
PlantSelector,Blur,party,TRUE,12,49
LightSwitch,Blur,normal,TRUE,12,50
