code;object;action;start_time;end_time;duration;object_group;warning; ; 
1677089207_319460;easel;hover;173,7594;173,8146;0,0552;;no_warning;;
1677089207_319460;lightswitch;hover;173,8146;173,8701;0,0555;light;Blur;;
1677089207_319460;easel;hover;173,8701;175,2624;1,3923;;no_warning;;
1677089207_319460;easel;hover;176,6809;176,9173;0,2364;;no_warning;;
1677089207_319460;blackboardpin;beginhighlight;176,9452;183,8243;6,8791;;no_warning;;
1677089207_319460;lightswitch;hover;187,2768;189,8253;2,5485;light;Blur;;
1677089207_319460;lightswitch;select;189,8253;190,0621;0,2368;light;Blur;;
1677089207_319460;lightswitch;hover;190,7995;190,869;0,0695;light;Blur;;
1677089207_319460;lightswitch;select;190,869;191,0366;0,1676;light;Blur;;
1677089207_319460;lightswitch;hover;191,4956;191,5511;0,0555;light;Blur;;
1677089207_319460;lightswitch;select;191,5511;191,6629;0,1118;light;Blur;;
1677089207_319460;lightswitch;hover;192,122;192,1638;0,0418;light;Blur;;
1677089207_319460;lightswitch;select;192,1638;192,2753;0,1115;light;Blur;;
1677089207_319460;lightswitch;hover;192,7068;192,7901;0,0833;light;Blur;;
1677089207_319460;lightswitch;select;192,7901;193,4998;0,7097;light;Blur;;
1677089207_319460;lightswitch;select;194,4868;194,7506;0,2638;light;Blur;;
1677089207_319460;lightswitch;hover;195,0132;195,069;0,0558;light;Blur;;
1677089207_319460;lightswitch;select;195,069;195,2504;0,1814;light;Blur;;
1677089207_319460;plantselector;select;211,2366;211,4313;0,1947;plant;no_warning;;
1677089207_319460;plantselector;hover;200,7359;211,4313;10,6954;plant;no_warning;;
1677089207_319460;frame;select;218,5311;218,5466;0,0155;frame;Blur;;
1677089207_319460;framepin;entering_pin_time;220,8976;227,9571;7,0595;frame;Blur;;
1677089207_319460;interactablepen;select;234,735;236,1836;1,4486;pen;no_warning;;
1677089207_319460;microphone;hover;242,3359;242,4055;0,0696;;no_warning;;
1677089207_319460;microphone;select;242,4055;242,8092;0,4037;;no_warning;;
1677089207_319460;clipboard;select;244,7314;246,458;1,7266;;no_warning;;
1678395354_924846;monitor;hover;60,91098;63,32409;2,41311;;no_warning;;
1678395354_924846;monitor;hover;63,46346;63,86646;0,403;;no_warning;;
1678395354_924846;monitor;hover;64,10387;64,27106;0,16719;;no_warning;;
1678395354_924846;monitor;hover;66,15047;66,72253;0,57206;;no_warning;;
1678395354_924846;clipboard;hover;67,12662;67,40545;0,27883;;no_warning;;
1678395354_924846;clipboard;select;67,40545;69,14653;1,74108;;no_warning;;
1678395354_924846;interactablepen;hover;70,51052;70,81741;0,30689;pen;no_warning;;
1678395354_924846;lightswitch;halo_on;70,73334;70,91477;0,18143;light;red;;
1678395354_924846;interactablepen;select;70,81741;73,60165;2,78424;pen;no_warning;;
1678395354_924846;monitor;hover;75,06361;75,60716;0,54355;;no_warning;;
1678395354_924846;clipboard;hover;75,77324;76,02412;0,25088;;no_warning;;
1678395354_924846;monitor;hover;76,02412;77,01219;0,98807;;no_warning;;
1678395354_924846;monitor;hover;77,04026;77,09615;0,05589;;no_warning;;
1678395354_924846;easel;hover;77,75009;78,48788;0,73779;;no_warning;;
1678395354_924846;monitor;hover;78,72516;79,04547;0,32031;;no_warning;;
1678395354_924846;frame;hover;79,15782;82,3149;3,15708;frame;red;;
1678395354_924846;frame;select;82,3149;82,38568;0,07078;frame;red;;
1678395354_924846;frame;hover;83,33247;84,19612;0,86365;frame;red;;
1678395354_924846;frame;hover;84,27943;84,52886;0,24943;frame;red;;
1678395354_924846;framepin;entering_pin_time;83,12339;89,49912;6,37573;frame;red;;
1678395354_924846;monitor;hover;91,1295;92,508;1,3785;;no_warning;;
1678395354_924846;stickynote;hover;94,01115;94,42882;0,41767;;no_warning;;
1678395354_924846;stickynote;select;94,42882;96,43243;2,00361;;no_warning;;
1678395354_924846;monitor;hover;96,82251;96,9893;0,16679;;no_warning;;
1678395354_924846;monitor;hover;97,08704;97,60234;0,5153;;no_warning;;
1678395354_924846;monitor;hover;97,71322;100,0384;2,32518;;no_warning;;
1678395354_924846;monitor;hover;101,528;105,3284;3,8004;;no_warning;;
